Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Huang Hongyun & family,1.4,China,real estate,2141,54,"Chongqing, China",China,Married,2,"EMBA, Chongqing Universtiy",TRUE,POINT (106.5478767 29.5647398)
Huang Jian,1.4,China,home appliance,2141,54,"Shunde, China",China,,,,TRUE,POINT (113.2883085 22.8073913)
Huang Weibin,1.4,China,home appliances,2141,53,"Haining, China",China,,,,TRUE,POINT (120.6759733 30.5142256)
Huang Xiaofen & family,1.4,China,printed circuit boards,2141,59,"Shenzhen, China",China,Married,,,TRUE,POINT (114.0543297 22.555454)
Archie Hwang,1.4,Taiwan,semiconductors,2141,68,"Taipei, Taiwan",Taiwan,Married,,"Bachelor of Arts/Science, National Chiao Tung University",TRUE,POINT (121.5636796 25.0375198)
Jay-Z,1.4,United States,Multiple,2141,51,"New York, New York",United States,Married,3,,TRUE,POINT (-74.00601519999999 40.7127281)
Johan Johannson,1.4,Norway,grocery stores,2141,54,"Oslo, Norway",Norway,Married,3,,FALSE,POINT (10.7389701 59.9133301)
Scott Kapnick,1.4,United States,private equity,2141,62,"Naples, Florida",United States,,,"Doctor of Jurisprudence, The University of Chicago; Master of Business Administration, The University of Chicago; Bachelor of Arts/Economics, Williams College",TRUE,POINT (-81.7954666 26.1452817)
Sidney Kimmel,1.4,United States,retail,2141,93,"New York, New York",United States,Married,,"Drop Out, Temple University",TRUE,POINT (-74.00601519999999 40.7127281)
Christine Knauf,1.4,Germany,building materials,2141,,,Germany,,,,FALSE,POINT (10.4234469 51.0834196)
Karl Knauf,1.4,Germany,building materials,2141,,,Germany,,,,FALSE,POINT (10.4234469 51.0834196)
Andrei Kosogov,1.4,Russia,Banking,2141,60,"Moscow, Russia",Russia,Married,3,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",TRUE,POINT (37.6174943 55.7504461)
Guilherme Peirao Leal,1.4,Brazil,cosmetics,2141,71,"Sao Paulo, Brazil",Brazil,Divorced,5,"Bachelor of Arts/Science, Universidade de Sao Paulo",TRUE,POINT (-46.6333824 -23.5506507)
Theodore Leonsis,1.4,United States,sports teams,2141,65,"Bethesda, Maryland",United States,Married,2,,TRUE,POINT (-77.0941675 38.9843774)
Li Denghai,1.4,China,seed production,2141,71,"Laizhou, China",China,Married,,,TRUE,POINT (119.9325123 37.1823043)
Liang Qin & family,1.4,China,semiconductor devices,2141,49,"Yangzhou, China",China,Married,,,TRUE,POINT (119.4077008 32.3969935)
Liang Yaoming,1.4,China,diagnostics,2141,57,"Guangzhou, China",China,,,,TRUE,POINT (113.2592945 23.1301964)
Liu Hua,1.4,China,infant formula,2141,48,"Qiqihaer, China",China,,,,TRUE,POINT (123.9164653 47.3523672)
Liu Xuejing & family,1.4,China,"copper, poultry",2141,70,"Liaocheng, China",China,Married,,,TRUE,POINT (115.9642007 36.4441808)
Anatoly Lomakin,1.4,Russia,investments,2141,68,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow Institute of International Relations",TRUE,POINT (37.6174943 55.7504461)
Lu Rongfu,1.4,China,telecommunication,2141,50,"Xiamen, China",China,,,,TRUE,POINT (118.0853479 24.4801069)
Antonio Marcegaglia,1.4,Italy,steel,2141,57,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",FALSE,POINT (10.6708365 45.1692628)
Emma Marcegaglia,1.4,Italy,steel,2141,55,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University; Master of Business Administration, New York University",FALSE,POINT (10.6708365 45.1692628)
Ilson Mateus,1.4,Brazil,supermarkets,2141,58,"Sao Luis, Brazil",Brazil,Married,3,,TRUE,POINT (-44.2448718 -2.5634605)
Terence (Terry) Matthews,1.4,Canada,telecom,2141,78,"Ottawa, Canada",Canada,Married,4,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales",TRUE,POINT (-75.690308 45.421106)
Trevor Milton,1.4,United States,★,2141,39,"Phoenix, Arizona",United States,Married,,"Drop Out, Utah Valley University",TRUE,POINT (-112.0741417 33.4484367)
Nirmal Minda,1.4,India,auto parts,2141,63,"Gurgaon, India",India,Married,2,,FALSE,POINT (77.0027001 28.4282624)
Robert Mouawad,1.4,Lebanon,fine jewelry,2141,76,"Manama, Bahrain",Lebanon,Married,3,,FALSE,POINT (50.5822436 26.2235041)
Judith Neilson,1.4,Australia,investments,2141,75,"Sydney, Australia",Australia,Divorced,2,,FALSE,POINT (151.0979607 -33.8641922)
Kerr Neilson,1.4,Australia,Investments,2141,71,"Sydney, Australia",Australia,Divorced,2,"Bachelor of Arts/Science, University of Cape Town",TRUE,POINT (151.0979607 -33.8641922)
Vadim Novinsky,1.4,Ukraine,steel,2141,57,"Kiev, Ukraine",Ukraine,Married,3,"Bachelor of Arts/Science, Academy of Civil Aviation (Leningrad)",TRUE,POINT (30.5241361 50.4500336)
John Ocampo,1.4,United States,semiconductors,2141,62,"Los Altos, California",United States,Married,3,"Bachelor of Engineering, Santa Clara University",TRUE,POINT (-122.116578 37.3790629)
Jonathan Oringer,1.4,United States,stock photos,2141,47,"Miami Beach, Florida",United States,Single,,"Master of Science, Columbia University; Bachelor of Arts/Science, SUNY Stony Brook",TRUE,POINT (-80.13530059999999 25.7929198)
Andreas Pohl,1.4,Germany,mutual funds,2141,56,"Marburg, Germany",Germany,Married,3,,FALSE,POINT (8.775774200000001 50.8117327)
"Reinfried Pohl, Jr.",1.4,Germany,mutual funds,2141,61,"Marburg, Germany",Germany,Married,5,,FALSE,POINT (8.775774200000001 50.8117327)
Qi Jinxing,1.4,China,real estate,2141,59,"Hangzhou, China",China,Married,1,,TRUE,POINT (120.2052342 30.2489634)
Qian Jinghong,1.4,China,electric scooters,2141,48,"Wuxi, China",China,Married,,,TRUE,POINT (120.3074357 31.4933074)
Vito Rodriguez Rodriguez,1.4,Peru,processed milk,2141,82,"Lima, Peru",Peru,Married,3,,TRUE,POINT (-77.0365256 -12.0621065)
Oliver Samwer,1.4,Germany,tech investments,2141,47,"Munich, Germany",Germany,Married,3,"Bachelor of Arts/Science, WHU - Otto Beisheim School of Management",TRUE,POINT (11.5753822 48.1371079)
Martin Selig,1.4,United States,real estate,2141,83,"Seattle, Washington",United States,Married,3,"Bachelor of Arts/Science, University of Washington",TRUE,POINT (-122.3300624 47.6038321)
Airat Shaimiev,1.4,Russia,"refinery, chemicals",2141,59,"Kazan, Russia",Russia,,,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",TRUE,POINT (49.1242266 55.7823547)
Amnon Shashua,1.4,Israel,automotive technology,2141,60,"Kfar Shmaryahu, Israel",Israel,,,,TRUE,POINT (34.8197755 32.1853666)
